0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:07:11 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:07:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:54 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:10:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:10:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:10:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:11:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:11:22 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:11:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:15 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:20 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:05 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:05 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:09 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:11 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:16:32 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:16:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:17:29 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:17:31 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:21:48 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:22:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:22:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:22:37 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:22:44 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:22:55 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:25:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:25:37 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:25:55 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9741
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:25:55 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:25:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:25:55 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:00 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:20 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:23 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9741
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:28 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:31 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:51 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9741
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:26:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:27:12 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7319
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:27:13 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 6379
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:27:13 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13298
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:27:15 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:27:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:29:10 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:29:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:33:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:33:38 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:33:40 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9165
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:34:15 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:34:29 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9101
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:34:32 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:34:38 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:34:47 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6568
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:01 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:05 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:10 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:15 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9101
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:19 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:33 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:35:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:37:57 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:37:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
