127.0.0.1 - - [14/Apr/2023:13:11:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:11:46 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:11:47 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:11:58 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:11:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:12:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:12:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:12:07 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:12:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:12:13 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:12:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:13:05 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5806
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:13:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:13:19 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:13:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:17:37 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:17:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:17:39 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:17:39 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:17:43 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:17:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:24:06 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:28:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:34:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:35:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:35:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:35:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:37:26 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:37:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:38:07 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:38:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:14 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:27 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:27 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:47:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:48:45 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:48:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:55:17 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:57:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:57:42 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:57:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:57:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:17 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:22 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:22 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:52 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:52 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:53 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:53 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:54 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:54 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:54 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:54 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:55 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:00:55 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:04:42 +0530] "POST /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5904
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:04:42 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:08:05 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:08:05 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:08:20 +0530] "POST /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:08:20 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:08:25 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
