127.0.0.1 - - [20/Mar/2023:17:34:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:34:52 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:34:52 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:34:52 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:34:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:34:59 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:26 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:26 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:26 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:32 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 7514
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:35:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:40:23 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:40:25 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 7514
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:40:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:42:59 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:42:59 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:43:18 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:43:29 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 7514
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:43:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:03 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:14 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:23 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:26 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:29 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:34 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:44 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:47 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7519
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:45:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:11 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:13 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7519
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:17 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:45 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:46:51 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:25 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:27 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:31 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:31 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:34 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:36 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:48:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/member-search-index.zip HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/type-search-index.zip HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/type-search-index.js HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/package-search-index.js HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/member-search-index.js HTTP/1.1" 200 83030
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:23 +0530] "GET /ORS_Project4/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:26 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Model/package-summary.html HTTP/1.1" 200 8050
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:26 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:26 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:26 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:26 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:26 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:32 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Model/UserModel.html HTTP/1.1" 200 35411
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:32 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:32 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:32 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:32 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:51:32 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:52:59 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8633
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:53:07 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:53:30 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8715
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:53:36 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8633
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:53:39 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6392
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:53:42 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:17:53:45 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:50:11 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:52:19 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:52:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:52:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:04 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:24 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:51 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13298
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:53 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7534
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:55 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7319
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:57 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:54:59 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:55:03 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:55:03 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Mar/2023:18:55:13 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
