127.0.0.1 - - [10/Apr/2023:13:13:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:13:26 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:13:26 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:13:28 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:13:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:13:30 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:14:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:14:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:14:27 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8847
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:14:33 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 5893
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:24:56 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8847
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:25:02 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:25:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:48:22 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10445
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:48:55 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:51:45 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:51:48 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10445
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:51:54 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:16 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:53:31 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:53:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:53:34 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:53:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:11 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 7514
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:18 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7590
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:25 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:25 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:54:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
