127.0.0.1 - - [28/May/2023:15:03:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2023:15:03:32 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [28/May/2023:15:03:32 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/May/2023:15:03:34 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [28/May/2023:15:03:37 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [28/May/2023:15:03:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [28/May/2023:15:05:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2023:15:05:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [28/May/2023:15:05:44 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9130
0:0:0:0:0:0:0:1 - - [28/May/2023:15:38:30 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [28/May/2023:15:38:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [28/May/2023:15:53:01 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2023:15:53:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [28/May/2023:15:53:07 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [28/May/2023:15:57:11 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [28/May/2023:15:57:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:16:04:53 +0530] "GET /ORS_Project4/ctl/UserCtl?id=10 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [28/May/2023:16:04:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:23 +0530] "GET /ORS_Project4/ctl/UserCtl?id=5 HTTP/1.1" 200 7520
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:26 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:29 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:31 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [28/May/2023:16:07:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
