127.0.0.1 - - [08/Jun/2023:12:17:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:09 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:09 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:18 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:17:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:18:22 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5626
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:18:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:28 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5660
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:42 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5660
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:52 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:20:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:21:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:21:13 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:21:16 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [08/Jun/2023:12:21:16 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
