0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:16:21 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:01 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13683
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:05 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 10932
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:08 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7704
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:14 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4306
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:21 +0530] "POST /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:36 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6263
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:36 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:43 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5118
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:18:51 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:22:27 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8816
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:22:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:23:47 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:23:55 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8280
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:07 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:10 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:15 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9098
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:26 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:26 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9255
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:44 +0530] "GET /ORS_Project4/ctl/UserCtl?id=13 HTTP/1.1" 200 8824
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:24:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:12 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:12 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:12 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:16 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9255
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:18 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:21 +0530] "GET /ORS_Project4/ctl/UserCtl?id=13 HTTP/1.1" 200 8824
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:25 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7704
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:28 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13683
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:26:48 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=9 HTTP/1.1" 200 7933
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:27:45 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:27:47 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9072
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:27:49 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:27:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:28:29 +0530] "GET /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 11638
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:28:34 +0530] "GET /ORS_Project4/ctl/SubjectCtl?id=8 HTTP/1.1" 200 5540
0:0:0:0:0:0:0:1 - - [28/Feb/2023:16:28:52 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5118
