127.0.0.1 - - [09/Jun/2023:14:11:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:11:37 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:11:37 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:08 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:32 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:32 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:36 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7521
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:15:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:28:18 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:28:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:28:22 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:28:22 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:30:06 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:30:15 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:32:25 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:33:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:33:34 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:33:34 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:36:47 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7521
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:36:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:41:41 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [09/Jun/2023:14:41:41 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:17:19 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:17:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:17:38 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:18:30 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:18:39 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10281
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:19:28 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10281
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:19:34 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10281
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:20:06 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10281
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:23:09 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7521
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:23:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:24:57 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:24:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:24:59 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9165
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:25:02 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:25:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:30:58 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:30:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:31:16 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:31:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:33:39 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:33:39 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:33:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:29 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9165
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:37 +0530] "GET /ORS_Project4/ctl/UserCtl?id=6 HTTP/1.1" 200 7525
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:39 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:39 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:47 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:35:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:43 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:43 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:43 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:43 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:43 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:46 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:46 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:46 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:46 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:46 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:50 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:50 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:50 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:50 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:41:50 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:42:57 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:02 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:16 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Model/UserModel.html HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:43:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Jun/2023:15:44:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
