127.0.0.1 - - [20/Apr/2023:14:40:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:16 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:16 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:16 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:22 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:23 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:27 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:27 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:30 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:35 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:37 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:39 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:42 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:40:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:41:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:42:36 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:42:36 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:42:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:42:43 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:42:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:47:14 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:38 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:49 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:59 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:48:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:54:36 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:54:39 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:54:39 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:54:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:54:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:58:25 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:58:25 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:58:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:59:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:59:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:59:47 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:59:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:14:59:50 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:00:09 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:00:09 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:00:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:01:27 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:01:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:01:29 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:01:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:01:38 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:02:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:02:30 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:02:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:02:45 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:02:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [20/Apr/2023:15:02:52 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
