127.0.0.1 - - [11/Apr/2023:12:37:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:37:28 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:37:28 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:37:28 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:39:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:39:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:48:40 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:48:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:48:45 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:48:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:48:55 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:48:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:49:02 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:49:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:50:25 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:50:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:51:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:53:21 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:53:35 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:12:53:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:13:17 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:13:20 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:14:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:14:15 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:17:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:17:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:17:34 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:17:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:32:51 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:33:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:33:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:35:05 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:35:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:35:06 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:35:06 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:35:06 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:36:11 +0530] "GET /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 6970
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:36:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:36:14 +0530] "POST /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:36:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:36:22 +0530] "GET /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 11253
0:0:0:0:0:0:0:1 - - [11/Apr/2023:13:36:36 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:21:17 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:21:22 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:21:30 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:21:33 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:21:34 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [11/Apr/2023:15:09:36 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [11/Apr/2023:15:09:40 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [11/Apr/2023:15:09:44 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [11/Apr/2023:15:09:56 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2231
