127.0.0.1 - - [21/Mar/2023:15:49:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:49:57 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:49:58 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:50:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:50:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:50:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:50:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:50:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [21/Mar/2023:15:50:43 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:37 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:45 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:50 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:53 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:55 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:55 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:06:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:07:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:07:22 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:07:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:07:50 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:08:21 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:08:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [21/Mar/2023:16:08:44 +0530] "GET /ORS_Project4/ctl HTTP/1.1" 200 2991
