127.0.0.1 - - [01/May/2023:13:09:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2023:13:09:29 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [01/May/2023:13:09:29 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/May/2023:13:09:31 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [01/May/2023:13:09:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [01/May/2023:13:09:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [01/May/2023:13:10:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [01/May/2023:13:11:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2023:13:11:52 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [01/May/2023:13:11:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2023:13:12:06 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [01/May/2023:13:13:09 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [01/May/2023:13:13:19 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2023:13:13:19 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [01/May/2023:14:11:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [01/May/2023:14:11:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2023:14:11:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [01/May/2023:14:11:22 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10354
0:0:0:0:0:0:0:1 - - [01/May/2023:14:46:52 +0530] "GET /ORS_Project4/ctl/UserCtl?id=5 HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [01/May/2023:14:46:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [01/May/2023:14:47:02 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [01/May/2023:14:47:09 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [01/May/2023:16:04:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [01/May/2023:17:00:33 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2023:17:00:33 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [01/May/2023:17:00:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2023:17:00:35 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [01/May/2023:17:00:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2023:17:02:46 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
