127.0.0.1 - - [27/May/2023:15:44:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/May/2023:15:44:34 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/May/2023:15:44:34 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/May/2023:15:44:38 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [27/May/2023:15:44:40 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [27/May/2023:15:45:02 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:15:45:02 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [27/May/2023:15:59:07 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9741
0:0:0:0:0:0:0:1 - - [27/May/2023:15:59:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/May/2023:15:59:07 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:15:59:07 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:15:59:51 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9014
0:0:0:0:0:0:0:1 - - [27/May/2023:16:14:21 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [27/May/2023:16:20:48 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:16:20:48 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [27/May/2023:16:20:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/May/2023:16:35:03 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
