127.0.0.1 - - [05/Jun/2023:13:53:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:53:10 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:53:10 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:53:34 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:53:36 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:54:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:54:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:54:03 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:54:43 +0530] "GET /ORS_Project4/ctl/UserCtl?id=10 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [05/Jun/2023:13:54:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:00:42 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:00:42 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:00:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:03:48 +0530] "GET /ORS_Project4/ctl/UserCtl?id=6 HTTP/1.1" 200 7520
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:03:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:04:30 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:04:30 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:04:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:06:35 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:06:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:00 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:00 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:14 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:17 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:19 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:21 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:09:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:36 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:36 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:36 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:36 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:36 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:39 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/package-summary.html HTTP/1.1" 200 12651
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:39 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:39 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:39 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:39 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:39 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:44 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/BaseCtl.html HTTP/1.1" 200 39225
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:44 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:44 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:44 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:44 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:10:44 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:32:59 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7517
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:32:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:32:59 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [05/Jun/2023:14:32:59 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
