0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:32:34 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:35:10 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10284
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:35:10 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:36:51 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10284
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:36:51 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:36:58 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10341
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:36:58 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:38:25 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10341
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:38:25 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:40:01 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [06/Jun/2023:13:40:01 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:04:35 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:04:35 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:21:18 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:21:18 +0530] "GET /ORS_Project4/js/CheckbRox11.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:28:34 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7521
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:28:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:03 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:03 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:03 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:03 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:03 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:06 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/package-summary.html HTTP/1.1" 200 12651
0:0:0:0:0:0:0:1 - - [06/Jun/2023:14:51:06 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
